1
{"_id": 0, "xpos": 50, "ypos": 50, "size": 5, "rot": 0, "color_rot": 0, "tursize": 5, "tur_rot": 0}
{"_id": 1, "xpos": 150, "ypos": 50, "size": 7, "rot": 45, "color_rot": 90, "tursize": 7, "tur_rot": 0}
{"_id": 2, "xpos": 250, "ypos": 50, "size": 9, "rot": 90, "color_rot": 180, "tursize": 9, "tur_rot": 0}
g
[0, 50.0, 54.5, 0.0, 0.0];[1, 152.475, 52.475, 45.0, 0.0];[2, 252.5, 50.0, 90.0, 0.0];
[0, 50.0, 59.0, 0.0, 0.0];[1, 154.95, 54.95, 45.0, 0.0];[2, 255.0, 50.0, 90.0, 0.0];
[0, 50.0, 63.5, 0.0, 0.0];[1, 157.425, 57.425, 45.0, 0.0];[2, 257.5, 50.0, 90.0, 0.0];
[0, 50.0, 68.0, 0.0, 0.0];[1, 159.899, 59.899, 45.0, 0.0];[2, 260.0, 50.0, 90.0, 0.0];
[0, 50.0, 72.5, 0.0, 0.0];[1, 162.374, 62.374, 45.0, 0.0];[2, 262.5, 50.0, 90.0, 0.0];
[0, 50.0, 77.0, 0.0, 0.0];[1, 164.849, 64.849, 45.0, 0.0];[2, 265.0, 50.0, 90.0, 0.0];
[0, 50.0, 81.5, 0.0, 0.0];[1, 167.324, 67.324, 45.0, 0.0];[2, 267.5, 50.0, 90.0, 0.0];
[0, 50.0, 86.0, 0.0, 0.0];[1, 169.799, 69.799, 45.0, 0.0];[2, 270.0, 50.0, 90.0, 0.0];
[0, 50.0, 90.5, 0.0, 0.0];[1, 172.274, 72.274, 45.0, 0.0];[2, 272.5, 50.0, 90.0, 0.0];
[0, 50.0, 95.0, 0.0, 0.0];[1, 174.749, 74.749, 45.0, 0.0];[2, 275.0, 50.0, 90.0, 0.0];
[0, 50.0, 99.5, 0.0, 0.0];[1, 177.224, 77.224, 45.0, 0.0];[2, 277.5, 50.0, 90.0, 0.0];
[0, 50.0, 104.0, 0.0, 0.0];[1, 179.698, 79.698, 45.0, 0.0];[2, 280.0, 50.0, 90.0, 0.0];
[0, 50.0, 108.5, 0.0, 0.0];[1, 182.173, 82.173, 45.0, 0.0];[2, 282.5, 50.0, 90.0, 0.0];
[0, 50.0, 113.0, 0.0, 0.0];[1, 184.648, 84.648, 45.0, 0.0];[2, 285.0, 50.0, 90.0, 0.0];
[0, 50.0, 117.5, 0.0, 0.0];[1, 187.123, 87.123, 45.0, 0.0];[2, 287.5, 50.0, 90.0, 0.0];
[0, 50.0, 122.0, 0.0, 0.0];[1, 189.598, 89.598, 45.0, 0.0];[2, 290.0, 50.0, 90.0, 0.0];
[0, 50.0, 126.5, 0.0, 0.0];[1, 192.073, 92.073, 45.0, 0.0];[2, 292.5, 50.0, 90.0, 0.0];
[0, 50.0, 131.0, 0.0, 0.0];[1, 194.548, 94.548, 45.0, 0.0];[2, 295.0, 50.0, 90.0, 0.0];
[0, 50.0, 135.5, 0.0, 0.0];[1, 197.023, 97.023, 45.0, 0.0];[2, 297.5, 50.0, 90.0, 0.0];
[0, 50.0, 140.0, 0.0, 0.0];[1, 199.497, 99.497, 45.0, 0.0];[2, 300.0, 50.0, 90.0, 0.0];
[0, 50.0, 140.0, 4.5, 0.0];[1, 199.497, 99.497, 48.5, 0.0];[2, 300.0, 50.0, 92.5, 0.0];
[0, 50.0, 140.0, 9.0, 0.0];[1, 199.497, 99.497, 52.0, 0.0];[2, 300.0, 50.0, 95.0, 0.0];
[0, 50.0, 140.0, 13.5, 0.0];[1, 199.497, 99.497, 55.5, 0.0];[2, 300.0, 50.0, 97.5, 0.0];
[0, 50.0, 140.0, 18.0, 0.0];[1, 199.497, 99.497, 59.0, 0.0];[2, 300.0, 50.0, 100.0, 0.0];
[0, 50.0, 140.0, 22.5, 0.0];[1, 199.497, 99.497, 62.5, 0.0];[2, 300.0, 50.0, 102.5, 0.0];
[0, 50.0, 140.0, 27.0, 0.0];[1, 199.497, 99.497, 66.0, 0.0];[2, 300.0, 50.0, 105.0, 0.0];
[0, 50.0, 140.0, 31.5, 0.0];[1, 199.497, 99.497, 69.5, 0.0];[2, 300.0, 50.0, 107.5, 0.0];
[0, 50.0, 140.0, 36.0, 0.0];[1, 199.497, 99.497, 73.0, 0.0];[2, 300.0, 50.0, 110.0, 0.0];
[0, 50.0, 140.0, 40.5, 0.0];[1, 199.497, 99.497, 76.5, 0.0];[2, 300.0, 50.0, 112.5, 0.0];
[0, 50.0, 140.0, 45.0, 0.0];[1, 199.497, 99.497, 80.0, 0.0];[2, 300.0, 50.0, 115.0, 0.0];
[0, 50.0, 140.0, 49.5, 0.0];[1, 199.497, 99.497, 83.5, 0.0];[2, 300.0, 50.0, 117.5, 0.0];
[0, 50.0, 140.0, 54.0, 0.0];[1, 199.497, 99.497, 87.0, 0.0];[2, 300.0, 50.0, 120.0, 0.0];
[0, 50.0, 140.0, 58.5, 0.0];[1, 199.497, 99.497, 90.5, 0.0];[2, 300.0, 50.0, 122.5, 0.0];
[0, 50.0, 140.0, 63.0, 0.0];[1, 199.497, 99.497, 94.0, 0.0];[2, 300.0, 50.0, 125.0, 0.0];
[0, 50.0, 140.0, 67.5, 0.0];[1, 199.497, 99.497, 97.5, 0.0];[2, 300.0, 50.0, 127.5, 0.0];
[0, 50.0, 140.0, 72.0, 0.0];[1, 199.497, 99.497, 101.0, 0.0];[2, 300.0, 50.0, 130.0, 0.0];
[0, 50.0, 140.0, 76.5, 0.0];[1, 199.497, 99.497, 104.5, 0.0];[2, 300.0, 50.0, 132.5, 0.0];
[0, 50.0, 140.0, 81.0, 0.0];[1, 199.497, 99.497, 108.0, 0.0];[2, 300.0, 50.0, 135.0, 0.0];
[0, 50.0, 140.0, 85.5, 0.0];[1, 199.497, 99.497, 111.5, 0.0];[2, 300.0, 50.0, 137.5, 0.0];
[0, 50.0, 140.0, 90.0, 0.0];[1, 199.497, 99.497, 115.0, 0.0];[2, 300.0, 50.0, 140.0, 0.0];
[0, 50.0, 140.0, 90.0, 6.199];[1, 199.497, 99.497, 115.0, 3.75];[2, 300.0, 50.0, 140.0, 1.913];
[0, 50.0, 140.0, 90.0, 12.398];[1, 199.497, 99.497, 115.0, 7.5];[2, 300.0, 50.0, 140.0, 3.827];
[0, 50.0, 140.0, 90.0, 18.597];[1, 199.497, 99.497, 115.0, 11.25];[2, 300.0, 50.0, 140.0, 5.74];
